id,key,value,type
29811182,ele,645,regular
29811182,name,Edmonton,regular
29811182,is_in,Alberta; Canada,regular
29811182,place,city,regular
29811182,capital,4,regular
29811182,ar,إدمونتون,name
29811182,de,Edmonton,name
29811182,en,Edmonton,name
29811182,fr,Edmonton,name
29811182,ru,Эдмонтон,name
29811182,uk,Едмонтон,name
29811182,wikidata,Q2096,regular
29811182,wikipedia,en:Edmonton,regular
29811182,population,812201,regular
29811182,admin_level,8,regular
29811182,state,Alberta,is_in
29811182,country,Canada,is_in
29811182,state_capital,yes,regular
29811182,continent,North America,is_in
29811182,iso_3166_2,CA-AB,is_in
29811182,state_code,AB,is_in
29811182,country_code,CA,is_in
30198589,created_by,JOSM,regular
30198610,highway,traffic_signals,regular
30198610,traffic_signals,signal,regular
30198617,highway,traffic_signals,regular
30198628,highway,traffic_signals,regular
30198631,created_by,JOSM,regular
30198665,highway,motorway_junction,regular
30198893,highway,traffic_signals,regular
30198916,highway,traffic_signals,regular
30233148,source,Bing,regular
30233148,highway,traffic_signals,regular
30233166,source,Bing,regular
30233166,highway,traffic_signals,regular
30233176,highway,traffic_signals,regular
30233178,highway,traffic_signals,regular
30233180,highway,traffic_signals,regular
30233286,highway,traffic_signals,regular
36397244,highway,traffic_signals,regular
36432187,highway,traffic_signals,regular
36432187,traffic_signals,signal,regular
36432188,source,Bing,regular
36432188,highway,traffic_signals,regular
36432189,highway,traffic_signals,regular
36432191,source,Bing,regular
36432191,highway,traffic_signals,regular
36432225,source,Bing,regular
36432225,highway,traffic_signals,regular
36432234,created_by,JOSM,regular
36432235,created_by,JOSM,regular
36432266,highway,traffic_signals,regular
36432283,highway,traffic_signals,regular
36432285,highway,traffic_signals,regular
36432315,highway,motorway_junction,regular
36432349,highway,motorway_junction,regular
36432351,highway,traffic_signals,regular
36432356,highway,traffic_signals,regular
36432358,highway,traffic_signals,regular
36432363,highway,traffic_signals,regular
36432368,source,Bing,regular
36432368,highway,traffic_signals,regular
36432368,traffic_signals,signal,regular
36432370,highway,traffic_signals,regular
36432373,highway,traffic_signals,regular
36432375,source,Bing,regular
36432375,highway,traffic_signals,regular
36433007,source,Bing,regular
36433007,highway,traffic_signals,regular
225178720,highway,motorway_junction,regular
225237461,highway,crossing,regular
225237461,crossing,zebra,regular
225502061,highway,traffic_signals,regular
225506527,highway,traffic_signals,regular
225506528,highway,traffic_signals,regular
225506531,highway,traffic_signals,regular
225509997,highway,traffic_signals,regular
227236674,highway,traffic_signals,regular
227254111,source,Bing,regular
227254111,highway,traffic_signals,regular
227272911,name,Fort Edmonton Park,regular
227272911,leisure,park,regular
227272911,tourism,museum,regular
227272911,website,www.fortedmontonpark.ca,regular
228116623,highway,crossing,regular
228154529,railway,level_crossing,regular
228154532,source,Bing,regular
228154532,highway,traffic_signals,regular
228154538,highway,traffic_signals,regular
228154548,highway,traffic_signals,regular
230435455,highway,traffic_signals,regular
231119321,highway,traffic_signals,regular
234515979,highway,crossing,regular
236054145,highway,traffic_signals,regular
236075166,highway,traffic_signals,regular
236637858,highway,crossing,regular
236637858,crossing,unmarked,regular
236660548,junction,roundabout,regular
236660548,direction,anticlockwise,regular
246294507,highway,motorway_junction,regular
246294716,highway,motorway_junction,regular
246294786,source,Bing,regular
246294786,highway,traffic_signals,regular
246294789,source,Bing,regular
246294789,highway,traffic_signals,regular
246294866,highway,motorway_junction,regular
246295819,highway,traffic_signals,regular
246298185,highway,motorway_junction,regular
246298842,source,Bing,regular
246298842,highway,traffic_signals,regular
246304003,highway,traffic_signals,regular
246304373,highway,traffic_signals,regular
246304974,highway,traffic_signals,regular
246307204,highway,traffic_signals,regular
246307208,source,Bing,regular
246307208,highway,traffic_signals,regular
246307210,source,Bing,regular
246307210,highway,traffic_signals,regular
246538685,highway,traffic_signals,regular
246540986,highway,traffic_signals,regular
246541246,highway,traffic_signals,regular
246599131,highway,traffic_signals,regular
246599133,highway,traffic_signals,regular
246696130,highway,traffic_signals,regular
246705249,highway,traffic_signals,regular
246735739,highway,motorway_junction,regular
246758180,highway,traffic_signals,regular
246758432,highway,traffic_signals,regular
246758432,traffic_signals,level_crossing,regular
246978464,name,Emily Murphy Park,regular
246978464,leisure,park,regular
246978464,created_by,Potlatch 0.7b,regular
246978969,name,Buena Vista Park,regular
246978969,leisure,park,regular
246978969,created_by,Potlatch 0.7,regular
247102359,highway,traffic_signals,regular
247103269,source,Bing,regular
247103269,highway,traffic_signals,regular
247103593,highway,traffic_signals,regular
247104353,highway,traffic_signals,regular
247272608,highway,traffic_signals,regular
247274343,highway,traffic_signals,regular
247367989,name,Queen Elizabeth Park,regular
247367989,leisure,park,regular
247367989,created_by,Potlatch 0.9c,regular
247678460,name,Churchill Station,regular
247678460,network,Capital Line,regular
247678460,railway,station,regular
247678460,operator,Edmonton Transit System,regular
247678643,name,Central Station,regular
247678643,railway,station,regular
247678712,name,Bay/Enterprise Square Station,regular
247678712,railway,station,regular
247678753,name,Corona Station,regular
247678753,railway,station,regular
247679024,name,Grandin Station,regular
247679024,railway,station,regular
247681336,name,Government Centre Transit Centre,regular
247681336,amenity,bus_station,regular
247681336,created_by,Potlatch 0.7a,regular
247682797,name,Southgate Transit Centre,regular
247682797,amenity,bus_station,regular
247682797,operator,Edmonton Transit System,regular
247683321,name,University Transit Centre,regular
247683321,amenity,bus_station,regular
247683321,created_by,Potlatch 0.7a,regular
250793362,highway,traffic_signals,regular
250793364,highway,traffic_signals,regular
250793369,highway,traffic_signals,regular
250793371,highway,traffic_signals,regular
250793372,highway,traffic_signals,regular
250793374,highway,traffic_signals,regular
250793420,source,Bing,regular
250793420,highway,traffic_signals,regular
250793489,source,Bing,regular
250793489,highway,traffic_signals,regular
250793689,highway,traffic_signals,regular
250793770,highway,traffic_signals,regular
250793911,highway,traffic_signals,regular
250794246,source,Bing,regular
250794246,highway,traffic_signals,regular
250794571,highway,traffic_signals,regular
251242238,highway,crossing,regular
251242238,crossing,zebra,regular
251249381,source,Bing,regular
251249381,highway,turning_circle,regular
251249431,source,Bing,regular
251249431,highway,turning_circle,regular
251249725,highway,turning_circle,regular
251250169,highway,turning_circle,regular
251251457,highway,turning_circle,regular
251252619,highway,give_way,regular
251254123,highway,traffic_signals,regular
251254123,traffic_signals,signal,regular
251254125,highway,traffic_signals,regular
251270484,highway,traffic_signals,regular
251270485,highway,traffic_signals,regular
251270913,highway,turning_circle,regular
251270942,highway,turning_circle,regular
251271010,highway,traffic_signals,regular
251271010,traffic_signals,signal,regular
251363869,highway,turning_circle,regular
251363881,highway,crossing,regular
251365665,highway,turning_circle,regular
251365705,highway,turning_circle,regular
251365716,highway,turning_circle,regular
251366427,highway,turning_circle,regular
251366428,highway,turning_circle,regular
251378757,noexit,yes,regular
251384121,source,Bing,regular
251384121,highway,turning_circle,regular
251414001,source,Bing,regular
251414001,highway,traffic_signals,regular
251415628,highway,traffic_signals,regular
251416701,source,Bing,regular
251416701,highway,traffic_signals,regular
251416702,highway,traffic_signals,regular
251416704,highway,traffic_signals,regular
251418594,highway,traffic_signals,regular
251423651,highway,traffic_signals,regular
251429062,highway,traffic_signals,regular
251430590,highway,traffic_signals,regular
251524342,railway,level_crossing,regular
251524343,railway,level_crossing,regular
251577130,highway,traffic_signals,regular
251577143,highway,traffic_signals,regular
251590648,highway,traffic_signals,regular
251590649,highway,traffic_signals,regular
251590655,highway,traffic_signals,regular
251590708,highway,traffic_signals,regular
251590709,highway,traffic_signals,regular
251590710,highway,traffic_signals,regular
251590758,highway,traffic_signals,regular
253842634,highway,traffic_signals,regular
276028426,highway,turning_circle,regular
276039669,highway,traffic_signals,regular
276043940,source,Bing,regular
276043940,highway,turning_circle,regular
276292987,source,Bing,regular
276292987,highway,turning_circle,regular
276293040,source,Yahoo,regular
