id,user,uid,version,changeset,timestamp
4734663,ionutr_telenav,4930407,55,46245638,2017-02-20T14:32:24Z
4734665,Zan Thrax,6085917,68,49049098,2017-05-28T16:18:29Z
4734674,flight780,2525040,29,34237437,2015-09-25T06:07:12Z
8515684,ionutr_telenav,4930407,17,49103375,2017-05-30T12:56:04Z
8515751,Mesowhite,3848955,29,44887263,2017-01-04T01:17:46Z
8515753,JJones,432924,36,13319597,2012-10-01T09:07:53Z
8515770,yegbin,3274426,52,40148859,2016-06-20T05:42:45Z
20948425,ionutr_telenav,4930407,30,45777977,2017-02-03T13:11:00Z
20948648,bogdanp_telenav,4433679,33,45853944,2017-02-06T13:33:02Z
20958835,yegbin,3274426,30,41605836,2016-08-22T04:21:16Z
20988004,flight780,2525040,27,34237437,2015-09-25T06:07:10Z
21124528,Mesowhite,3848955,28,39951008,2016-06-11T11:57:39Z
21126929,spince,4762663,27,44394710,2016-12-14T11:00:48Z
21127962,Sundance,239998,28,18945989,2013-11-17T02:27:52Z
21128425,RetiredInNH,232126,10,14959317,2013-02-08T19:05:38Z
21206353,Viajero Perdido,2365330,13,30299801,2015-04-18T04:13:28Z
21207027,yegbin,3274426,23,40671727,2016-07-12T04:34:39Z
21422054,liushuyu,3728024,22,47678808,2017-04-12T00:34:13Z
21422127,liushuyu,3728024,27,47678796,2017-04-12T00:33:08Z
21422391,yegbin,3274426,10,41605836,2016-08-22T04:21:14Z
21486252,liushuyu,3728024,15,47678803,2017-04-12T00:33:34Z
21487087,spince,4762663,21,44415639,2016-12-15T07:11:13Z
21903643,flight780,2525040,33,34237437,2015-09-25T06:07:11Z
21903953,ionutr_telenav,4930407,42,46101642,2017-02-15T09:41:27Z
21903979,ionutr_telenav,4930407,22,45975940,2017-02-10T14:58:54Z
21905074,ionutr_telenav,4930407,31,46331309,2017-02-23T09:16:20Z
21905154,yegbin,3274426,24,40511525,2016-07-05T23:03:15Z
21960585,Mesowhite,3848955,17,44290346,2016-12-09T19:41:41Z
21961441,yegbin,3274426,17,40632597,2016-07-10T15:27:21Z
21961607,OSMF Redaction Account,722137,11,12304908,2012-07-19T02:18:40Z
22337301,GiJo,292736,22,44630885,2016-12-23T18:51:32Z
22892520,ionutr_telenav,4930407,17,49103915,2017-05-30T13:14:17Z
22892547,bogdanp_telenav,4433679,21,45850051,2017-02-06T09:27:13Z
22892601,ionutr_telenav,4930407,12,49103375,2017-05-30T12:56:04Z
22892622,ionutr_telenav,4930407,19,49103375,2017-05-30T12:56:04Z
22892625,ionutr_telenav,4930407,19,49103915,2017-05-30T13:14:17Z
22892626,ionutr_telenav,4930407,15,49103915,2017-05-30T13:14:18Z
22892629,ionutr_telenav,4930407,11,45777603,2017-02-03T12:54:45Z
22892630,ionutr_telenav,4930407,12,45777603,2017-02-03T12:54:45Z
22892634,bwrasko,5450507,15,47520670,2017-04-06T20:41:37Z
22892643,Sundance,239998,6,18945989,2013-11-17T02:27:50Z
22892644,ionutr_telenav,4930407,15,49104685,2017-05-30T13:37:54Z
22892647,ionutr_telenav,4930407,19,49104907,2017-05-30T13:44:54Z
22892649,MuzikMachine,1820014,14,24689456,2014-08-11T21:50:34Z
22892650,spince,4762663,22,44390976,2016-12-14T07:22:13Z
22893328,Sundance,239998,25,9789807,2011-11-10T15:57:42Z
22900291,ionutr_telenav,4930407,21,49103915,2017-05-30T13:14:18Z
22901052,yegbin,3274426,14,42364532,2016-09-23T05:28:28Z
22904249,georges_telenav,5245700,15,49336918,2017-06-07T13:50:47Z
22904250,bwrasko,5450507,11,47520670,2017-04-06T20:41:37Z
22904360,Brenticus,5772759,19,48352534,2017-05-03T03:59:44Z
22904638,Sundance,239998,20,33731593,2015-09-01T16:10:01Z
22904687,ionutr_telenav,4930407,19,45777977,2017-02-03T13:11:01Z
22904787,istvanv_telenav,4972028,62,44416703,2016-12-15T08:19:38Z
22904793,ionutr_telenav,4930407,15,46166924,2017-02-17T14:54:38Z
22905303,MuzikMachine,1820014,33,28031153,2015-01-09T23:47:53Z
22914169,petrar_telenav,4940486,29,44393421,2016-12-14T09:51:10Z
22914283,Mesowhite,3848955,14,44796316,2016-12-30T22:16:01Z
22914688,ec90,69097,30,40984703,2016-07-24T06:40:11Z
22914738,bogdanp_telenav,4433679,21,45853944,2017-02-06T14:04:56Z
22914746,ij_,139957,31,25309974,2014-09-08T15:42:06Z
22914747,xelloss,26616,6,683953,2008-09-23T05:31:11Z
22914762,Sundance,239998,4,13952960,2012-11-21T01:10:05Z
22914764,Mesowhite,3848955,27,44649401,2016-12-24T18:00:11Z
22915803,ij_,139957,11,25319153,2014-09-09T01:53:35Z
22915822,Yottabyte,312388,15,48186131,2017-04-27T08:00:43Z
22915889,Sundance,239998,19,33731593,2015-09-01T16:09:58Z
22915890,Sundance,239998,14,33731593,2015-09-01T16:09:58Z
22916327,ionutr_telenav,4930407,8,49103375,2017-05-30T12:56:04Z
22916328,ionutr_telenav,4930407,11,49103375,2017-05-30T12:56:04Z
22916333,georges_telenav,5245700,10,49336918,2017-06-07T13:50:47Z
22916335,Sundance,239998,5,18945989,2013-11-17T02:27:52Z
22916336,bwrasko,5450507,5,47520670,2017-04-06T20:41:37Z
22916338,MuzikMachine,1820014,14,20813162,2014-02-27T17:41:09Z
22916340,MuzikMachine,1820014,30,24689456,2014-08-11T21:50:35Z
22916344,Sundance,239998,10,33706577,2015-08-31T15:22:21Z
