id,key,value,type
4734663,lit,yes,regular
4734663,name,109 Street NW,regular
4734663,lanes,2,regular
4734663,oneway,yes,regular
4734663,highway,secondary,regular
4734665,highway,secondary,regular
4734665,lanes,2,regular
4734665,maxspeed,50,regular
4734665,name,104 Street NW,regular
4734665,oneway,yes,regular
4734665,surface,asphalt,regular
4734674,name,114 Street NW,regular
4734674,access,designated,regular
4734674,oneway,yes,regular
4734674,highway,service,regular
8515684,street,Whitemud Drive East,destination
8515684,highway,motorway_link,regular
8515684,oneway,yes,regular
8515751,lit,yes,regular
8515751,name,Walterdale Hill NW,regular
8515751,oneway,yes,regular
8515751,highway,secondary,regular
8515753,name,108 Street NW,regular
8515753,highway,residential,regular
8515770,lit,yes,regular
8515770,name,Whyte Avenue NW,regular
8515770,lanes,2,regular
8515770,oneway,yes,regular
8515770,highway,secondary,regular
20948425,name,Belgravia Road NW,regular
20948425,oneway,yes,regular
20948425,highway,secondary,regular
20948648,lit,yes,regular
20948648,name,122 Street NW,regular
20948648,oneway,yes,regular
20948648,highway,secondary,regular
20958835,name,Saskatchewan Drive NW,regular
20958835,bicycle,designated,regular
20958835,highway,residential,regular
20988004,psv,yes,regular
20988004,name,89 Avenue NW,regular
20988004,access,designated,regular
20988004,oneway,yes,regular
20988004,highway,service,regular
21124528,name,Capital Line North,regular
21124528,oneway,yes,regular
21124528,railway,light_rail,regular
21124528,voltage,600,regular
21124528,electrified,contact_line,regular
21126929,name,43 Avenue NW,regular
21126929,highway,residential,regular
21127962,lit,yes,regular
21127962,lanes,1,regular
21127962,oneway,yes,regular
21127962,highway,motorway_link,regular
21128425,highway,service,regular
21206353,name,113 Street NW,regular
21206353,highway,residential,regular
21207027,name,107 Street NW,regular
21207027,highway,residential,regular
21422054,name,116 Street NW,regular
21422054,highway,tertiary,regular
21422054,surface,asphalt,regular
21422054,cycleway,lane,regular
21422127,name,117 Street NW,regular
21422127,highway,residential,regular
21422127,surface,asphalt,regular
21422391,name,119 Street NW,regular
21422391,highway,residential,regular
21486252,name,118 Street NW,regular
21486252,highway,residential,regular
21486252,surface,asphalt,regular
21487087,lit,yes,regular
21487087,foot,no,regular
21487087,name,Queen Elizabeth Park Road NW,regular
21487087,note,foot=no because no sidewalk; avoid routing along road,regular
21487087,oneway,yes,regular
21487087,source,City of Edmonton,regular
21487087,highway,secondary,regular
21903643,name,112 Street NW,regular
21903643,oneway,yes,regular
21903643,bicycle,designated,regular
21903643,highway,service,regular
21903643,abutters,commercial,regular
21903953,lit,yes,regular
21903953,name,76 Avenue NW,regular
21903953,bicycle,designated,regular
21903953,highway,residential,regular
21903979,name,115 Street NW,regular
21903979,bicycle,designated,regular
21903979,highway,residential,regular
21905074,name,111 Street NW,regular
21905074,lanes,2,regular
21905074,oneway,yes,regular
21905074,highway,residential,regular
21905154,name,111 Street NW,regular
21905154,highway,residential,regular
21960585,bicycle,yes,regular
21960585,highway,footway,regular
21961441,name,105 Street NW,regular
21961441,highway,residential,regular
21961607,name,118 Street NW,regular
22337301,name,117 Street NW,regular
22337301,highway,residential,regular
22892520,street,Fox Drive,destination
22892520,highway,motorway_link,regular
22892520,lit,yes,regular
22892520,oneway,yes,regular
22892547,oneway,yes,regular
22892547,highway,motorway_link,regular
22892601,street,Whitemud Drive West,destination
22892601,highway,motorway_link,regular
22892601,oneway,yes,regular
22892622,destination,Valley Zoo,regular
22892622,street,149 Street North,destination
22892622,highway,motorway_link,regular
22892622,lanes,2,regular
22892622,lit,yes,regular
22892622,oneway,yes,regular
22892625,bridge,yes,regular
22892625,destination,Fort Edmonton Park,regular
22892625,street,Fox Drive Drive East,destination
22892625,highway,motorway_link,regular
22892625,lanes,2,regular
22892625,layer,1,regular
22892625,lit,yes,regular
22892625,oneway,yes,regular
22892626,street,Whitemud Drive South,destination
22892626,highway,motorway_link,regular
22892626,lit,yes,regular
22892626,oneway,yes,regular
22892629,oneway,yes,regular
22892629,highway,motorway_link,regular
22892630,lit,yes,regular
22892630,oneway,yes,regular
22892630,highway,motorway_link,regular
22892634,lit,yes,regular
22892634,lanes,1,regular
22892634,oneway,yes,regular
22892634,highway,motorway_link,regular
22892634,maxspeed,80,regular
22892643,lit,yes,regular
22892643,lanes,1,regular
22892643,oneway,yes,regular
22892643,highway,motorway_link,regular
22892644,highway,motorway_link,regular
22892644,lit,yes,regular
22892644,oneway,yes,regular
22892647,street,111 Street;106 Street,destination
22892647,highway,motorway_link,regular
22892647,oneway,yes,regular
22892649,oneway,yes,regular
22892649,highway,motorway_link,regular
22892650,name,Whitemud Drive NW,regular
22892650,oneway,yes,regular
22892650,highway,tertiary,regular
22893328,name,Riverbend Road NW,regular
22893328,highway,residential,regular
22900291,street,Whitemud Drive North,destination
22900291,highway,motorway_link,regular
22900291,lit,yes,regular
22900291,oneway,yes,regular
22900291,source,Yahoo,regular
22901052,lit,yes,regular
22901052,name,Scona Road NW,regular
22901052,oneway,yes,regular
22901052,highway,secondary,regular
22904249,highway,motorway_link,regular
22904249,lanes,2,regular
22904249,lit,yes,regular
22904249,oneway,yes,regular
22904250,oneway,yes,regular
22904250,highway,motorway_link,regular
22904250,maxspeed,80,regular
22904360,highway,tertiary,regular
22904360,name,Whitemud Drive NW,regular
22904360,surface,asphalt,regular
22904638,lit,yes,regular
22904638,name,98 Avenue NW,regular
22904638,oneway,yes,regular
22904638,highway,secondary,regular
22904638,maxspeed,60,regular
22904687,name,109 Street NW,regular
22904687,oneway,yes,regular
22904687,highway,secondary,regular
22904787,lit,yes,regular
22904787,name,99 Street NW,regular
22904787,lanes,4,regular
22904787,highway,secondary,regular
22904787,forward,2,lanes
22904787,backward,2,lanes
22904793,lit,yes,regular
22904793,name,Scona Road NW,regular
22904793,lanes,5,regular
22904793,highway,secondary,regular
22905303,name,142 Street NW,regular
22905303,lanes,4,regular
22905303,highway,tertiary,regular
22914169,name,111 Street NW,regular
22914169,lanes,2,regular
22914169,oneway,yes,regular
22914169,highway,secondary,regular
22914283,name,Low Level Bridge,regular
22914283,oneway,yes,regular
22914283,highway,secondary,regular
22914688,name,61 Avenue NW,regular
